onset	duration	orientation	contrast	side	trial	subject
4.5	4.5	60	0.8	left	1	4
12.8	4.5	30	0.2	left	2	4
22	4.5	0	0.2	left	3	4
30.2	4.5	105	0.2	left	4	4
38.3	4.5	135	0.8	left	5	4
47.8	4.5	60	0.2	left	6	4
56.8	4.5	120	0.2	left	7	4
65.1	4.5	150	0.8	left	8	4
72.8	4.5	15	0.2	left	9	4
81.8	4.5	165	0.2	left	10	4
90.6	4.5	30	0.8	left	11	4
98.2	4.5	45	0.8	left	12	4
105.9	4.5	105	0.8	left	13	4
115.4	4.5	165	0.8	left	14	4
123.9	4.5	90	0.2	left	15	4
131.4	4.5	165	0.8	left	16	4
139	4.5	120	0.2	left	17	4
146.7	4.5	30	0.8	left	18	4
156	4.5	90	0.8	left	19	4
164.4	4.5	165	0.2	left	20	4
173	4.5	120	0.8	left	21	4
181.5	4.5	75	0.2	left	22	4
189.1	4.5	0	0.2	left	23	4
198.4	4.5	150	0.2	left	24	4
206.5	4.5	150	0.8	left	25	4
214.5	4.5	135	0.8	left	26	4
223.2	4.5	90	0.2	left	27	4
231.6	4.5	75	0.8	left	28	4
239.8	4.5	135	0.2	left	29	4
248.6	4.5	30	0.2	left	30	4
258	4.5	45	0.2	left	31	4
266.8	4.5	60	0.8	left	32	4
274.8	4.5	0	0.2	left	33	4
282.7	4.5	15	0.8	left	34	4
291.1	4.5	0	0.2	left	35	4
298.6	4.5	75	0.8	left	36	4
307.9	4.5	45	0.8	left	37	4
316.6	4.5	15	0.2	left	38	4
324.5	4.5	45	0.2	left	39	4
333	4.5	120	0.8	left	40	4
340.6	4.5	105	0.2	left	41	4
349.9	4.5	105	0.8	left	42	4
358.3	4.5	15	0.8	left	43	4
366.9	4.5	75	0.2	left	44	4
375.5	4.5	60	0.2	left	45	4
384.4	4.5	90	0.8	left	46	4
392.6	4.5	150	0.2	left	47	4
400.2	4.5	135	0.2	left	48	4
