onset_expected	duration_expected	orientation	contrast	side	trial	subject
0	5	90	0.8	left	1	5
7.8	5	120	0.8	left	2	5
15.6	5	60	0.2	left	3	5
23.2	5	30	0.2	left	4	5
31.1	5	75	0.2	left	5	5
38.6	5	120	0.8	left	6	5
46.6	5	135	0.8	left	7	5
54.4	5	60	0.8	left	8	5
62.5	5	150	0.2	left	9	5
70	5	120	0.2	left	10	5
77.9	5	150	0.8	left	11	5
85.9	5	90	0.2	left	12	5
94.4	5	30	0.8	left	13	5
102.3	5	165	0.2	left	14	5
110.5	5	165	0.2	left	15	5
118.5	5	0	0.2	left	16	5
127.2	5	30	0.2	left	17	5
135.7	5	90	0.8	left	18	5
143.2	5	135	0.2	left	19	5
151.2	5	75	0.8	left	20	5
159	5	15	0.2	left	21	5
167.2	5	150	0.8	left	22	5
175	5	75	0.8	left	23	5
182.7	5	30	0.8	left	24	5
190.8	5	90	0.2	left	25	5
199.2	5	0	0.2	left	26	5
207.4	5	45	0.2	left	27	5
215	5	45	0.8	left	28	5
222.9	5	0	0.2	left	29	5
231.3	5	15	0.2	left	30	5
239.5	5	165	0.8	left	31	5
247.5	5	165	0.8	left	32	5
255	5	0	0.2	left	33	5
263.7	5	120	0.2	left	34	5
271.4	5	105	0.8	left	35	5
279.8	5	150	0.2	left	36	5
287.4	5	75	0.2	left	37	5
296	5	105	0.2	left	38	5
304.7	5	135	0.2	left	39	5
313.1	5	45	0.2	left	40	5
321.2	5	60	0.2	left	41	5
329.1	5	45	0.8	left	42	5
337.5	5	60	0.8	left	43	5
345.4	5	15	0.8	left	44	5
353.3	5	15	0.8	left	45	5
361.2	5	105	0.8	left	46	5
369.8	5	135	0.8	left	47	5
377.3	5	105	0.2	left	48	5
