onset_expected	duration_expected	orientation	contrast	side	trial	subject
0	5	135	0.8	right	1	5
8.5	5	0	0.2	right	2	5
16.6	5	105	0.8	right	3	5
24.2	5	165	0.8	right	4	5
32.4	5	0	0.2	right	5	5
40	5	105	0.2	right	6	5
48.6	5	150	0.8	right	7	5
57	5	60	0.8	right	8	5
64.6	5	90	0.8	right	9	5
72.3	5	45	0.2	right	10	5
80.4	5	90	0.8	right	11	5
88.2	5	105	0.2	right	12	5
96.5	5	90	0.2	right	13	5
104.1	5	30	0.8	right	14	5
112.6	5	30	0.8	right	15	5
120.4	5	120	0.8	right	16	5
128.1	5	60	0.8	right	17	5
135.9	5	165	0.2	right	18	5
144.6	5	150	0.2	right	19	5
152.3	5	60	0.2	right	20	5
160.9	5	120	0.2	right	21	5
168.6	5	135	0.2	right	22	5
176.7	5	75	0.2	right	23	5
185.4	5	75	0.8	right	24	5
193	5	45	0.8	right	25	5
201.5	5	60	0.2	right	26	5
209.8	5	120	0.2	right	27	5
218.2	5	75	0.8	right	28	5
225.9	5	165	0.8	right	29	5
233.8	5	135	0.2	right	30	5
242.2	5	105	0.8	right	31	5
250.2	5	30	0.2	right	32	5
258	5	15	0.2	right	33	5
266.6	5	150	0.8	right	34	5
275	5	0	0.2	right	35	5
283.3	5	135	0.8	right	36	5
290.8	5	0	0.2	right	37	5
299.1	5	165	0.2	right	38	5
306.6	5	150	0.2	right	39	5
315	5	15	0.8	right	40	5
323.7	5	90	0.2	right	41	5
332.1	5	15	0.8	right	42	5
340.5	5	45	0.8	right	43	5
348.7	5	75	0.2	right	44	5
357.4	5	30	0.2	right	45	5
365	5	45	0.2	right	46	5
373.6	5	120	0.8	right	47	5
381.7	5	15	0.2	right	48	5
