onset_expected	duration_expected	orientation	contrast	side	trial	subject
0	5	15	0.8	right	1	6
8.7	5	165	0.2	right	2	6
16.7	5	60	0.2	right	3	6
25.2	5	150	0.8	right	4	6
33.9	5	120	0.8	right	5	6
42.2	5	60	0.8	right	6	6
50.1	5	15	0.8	right	7	6
58.1	5	120	0.8	right	8	6
66.1	5	105	0.8	right	9	6
74.4	5	165	0.8	right	10	6
82.5	5	0	0.2	right	11	6
91.2	5	15	0.2	right	12	6
99.1	5	105	0.2	right	13	6
107	5	90	0.2	right	14	6
115.6	5	105	0.8	right	15	6
123.8	5	60	0.8	right	16	6
132.2	5	75	0.8	right	17	6
139.8	5	45	0.8	right	18	6
147.8	5	45	0.2	right	19	6
155.3	5	135	0.2	right	20	6
163.6	5	75	0.2	right	21	6
172	5	150	0.2	right	22	6
180.6	5	135	0.8	right	23	6
188.9	5	0	0.2	right	24	6
197.2	5	30	0.2	right	25	6
205.8	5	90	0.8	right	26	6
213.9	5	0	0.2	right	27	6
221.9	5	75	0.8	right	28	6
230.4	5	30	0.2	right	29	6
238.9	5	60	0.2	right	30	6
246.6	5	150	0.2	right	31	6
254.1	5	105	0.2	right	32	6
261.6	5	90	0.8	right	33	6
269.2	5	90	0.2	right	34	6
276.9	5	150	0.8	right	35	6
285.2	5	135	0.8	right	36	6
292.7	5	45	0.2	right	37	6
300.8	5	30	0.8	right	38	6
309.1	5	15	0.2	right	39	6
316.7	5	120	0.2	right	40	6
324.5	5	120	0.2	right	41	6
332.3	5	165	0.8	right	42	6
340	5	165	0.2	right	43	6
347.9	5	75	0.2	right	44	6
356.4	5	0	0.2	right	45	6
364.2	5	135	0.2	right	46	6
372.7	5	30	0.8	right	47	6
380.9	5	45	0.8	right	48	6
