onset_expected	duration_expected	orientation	contrast	side	trial	subject
0	5	135	0.8	right	1	6
8.5	5	120	0.8	right	2	6
16.1	5	135	0.2	right	3	6
24.4	5	60	0.8	right	4	6
32.3	5	120	0.2	right	5	6
40.2	5	105	0.8	right	6	6
48.4	5	150	0.8	right	7	6
57	5	135	0.2	right	8	6
64.7	5	150	0.2	right	9	6
73	5	165	0.2	right	10	6
81.6	5	150	0.2	right	11	6
89.3	5	15	0.2	right	12	6
97.1	5	165	0.8	right	13	6
105.2	5	90	0.2	right	14	6
113.8	5	120	0.2	right	15	6
121.9	5	165	0.8	right	16	6
129.7	5	120	0.8	right	17	6
137.8	5	75	0.2	right	18	6
146	5	15	0.2	right	19	6
154	5	135	0.8	right	20	6
161.5	5	15	0.8	right	21	6
169.9	5	60	0.2	right	22	6
178	5	0	0.2	right	23	6
185.9	5	105	0.2	right	24	6
193.4	5	0	0.2	right	25	6
201.3	5	30	0.8	right	26	6
209.1	5	60	0.8	right	27	6
216.8	5	75	0.8	right	28	6
225.3	5	45	0.8	right	29	6
233.3	5	45	0.8	right	30	6
240.8	5	45	0.2	right	31	6
248.7	5	90	0.2	right	32	6
257.2	5	30	0.2	right	33	6
264.9	5	60	0.2	right	34	6
273.5	5	15	0.8	right	35	6
281.4	5	90	0.8	right	36	6
289.3	5	165	0.2	right	37	6
297	5	0	0.2	right	38	6
305.4	5	0	0.2	right	39	6
312.9	5	75	0.2	right	40	6
321.6	5	30	0.8	right	41	6
329.3	5	105	0.8	right	42	6
337.1	5	30	0.2	right	43	6
345.4	5	45	0.2	right	44	6
353	5	150	0.8	right	45	6
361.1	5	75	0.8	right	46	6
369.5	5	105	0.2	right	47	6
378.2	5	90	0.8	right	48	6
