onset_expected	duration_expected	orientation	contrast	side	trial	subject
0	5	150	0.8	left	1	5
8.3	5	165	0.8	left	2	5
16.3	5	120	0.8	left	3	5
24.3	5	90	0.8	left	4	5
31.8	5	120	0.8	left	5	5
39.7	5	75	0.8	left	6	5
48.2	5	105	0.8	left	7	5
56.5	5	60	0.2	left	8	5
64.5	5	60	0.2	left	9	5
73.2	5	150	0.2	left	10	5
81.9	5	15	0.8	left	11	5
90	5	150	0.8	left	12	5
98	5	165	0.8	left	13	5
106.5	5	135	0.2	left	14	5
114.1	5	90	0.2	left	15	5
122.6	5	60	0.8	left	16	5
131	5	15	0.2	left	17	5
139.2	5	135	0.8	left	18	5
147	5	30	0.2	left	19	5
155.2	5	45	0.2	left	20	5
163.4	5	105	0.2	left	21	5
171.1	5	135	0.8	left	22	5
178.6	5	120	0.2	left	23	5
186.3	5	45	0.8	left	24	5
195	5	90	0.8	left	25	5
203.5	5	105	0.8	left	26	5
211	5	165	0.2	left	27	5
219.2	5	45	0.8	left	28	5
227	5	60	0.8	left	29	5
235.1	5	135	0.2	left	30	5
243.3	5	150	0.2	left	31	5
250.8	5	0	0.2	left	32	5
259.4	5	120	0.2	left	33	5
267.5	5	75	0.2	left	34	5
275.2	5	30	0.8	left	35	5
283.9	5	15	0.2	left	36	5
292.5	5	75	0.8	left	37	5
300.8	5	30	0.8	left	38	5
308.7	5	0	0.2	left	39	5
317.4	5	90	0.2	left	40	5
326	5	0	0.2	left	41	5
333.5	5	15	0.8	left	42	5
341.1	5	75	0.2	left	43	5
348.9	5	105	0.2	left	44	5
356.8	5	165	0.2	left	45	5
365.4	5	45	0.2	left	46	5
372.9	5	0	0.2	left	47	5
380.7	5	30	0.2	left	48	5
