onset_expected	duration_expected	orientation	contrast	side	trial	subject
0	5	135	0.2	right	1	5
8.2	5	120	0.2	right	2	5
16.3	5	45	0.2	right	3	5
24.9	5	30	0.8	right	4	5
33	5	90	0.8	right	5	5
41.4	5	30	0.8	right	6	5
50	5	150	0.2	right	7	5
57.6	5	165	0.2	right	8	5
65.6	5	15	0.8	right	9	5
73.4	5	60	0.2	right	10	5
82	5	105	0.2	right	11	5
89.5	5	135	0.2	right	12	5
97.7	5	150	0.8	right	13	5
105.6	5	75	0.8	right	14	5
113.4	5	75	0.2	right	15	5
121.6	5	75	0.8	right	16	5
129.2	5	60	0.8	right	17	5
136.8	5	165	0.2	right	18	5
145.5	5	0	0.2	right	19	5
153.4	5	75	0.2	right	20	5
161.1	5	105	0.8	right	21	5
168.6	5	105	0.2	right	22	5
177.2	5	150	0.2	right	23	5
185.9	5	0	0.2	right	24	5
193.8	5	60	0.2	right	25	5
201.4	5	30	0.2	right	26	5
210	5	135	0.8	right	27	5
217.9	5	45	0.8	right	28	5
225.6	5	90	0.8	right	29	5
233.9	5	120	0.8	right	30	5
241.4	5	30	0.2	right	31	5
248.9	5	15	0.2	right	32	5
257.1	5	90	0.2	right	33	5
265.7	5	15	0.8	right	34	5
273.4	5	120	0.2	right	35	5
281	5	45	0.2	right	36	5
288.5	5	165	0.8	right	37	5
296.9	5	0	0.2	right	38	5
305.3	5	60	0.8	right	39	5
313.9	5	15	0.2	right	40	5
321.7	5	0	0.2	right	41	5
329.9	5	135	0.8	right	42	5
337.4	5	120	0.8	right	43	5
345	5	150	0.8	right	44	5
352.9	5	105	0.8	right	45	5
361	5	45	0.8	right	46	5
368.6	5	165	0.8	right	47	5
376.9	5	90	0.2	right	48	5
