onset_expected	duration_expected	orientation	contrast	side	trial	subject
0	5	105	0.2	right	1	5
8.1	5	90	0.8	right	2	5
16.6	5	0	0.2	right	3	5
24.5	5	105	0.8	right	4	5
32.1	5	90	0.2	right	5	5
40.3	5	60	0.8	right	6	5
47.8	5	75	0.8	right	7	5
55.3	5	15	0.8	right	8	5
63.6	5	150	0.2	right	9	5
71.4	5	75	0.8	right	10	5
80.1	5	15	0.8	right	11	5
87.6	5	120	0.2	right	12	5
95.2	5	105	0.2	right	13	5
103	5	120	0.8	right	14	5
111.2	5	30	0.2	right	15	5
118.8	5	45	0.2	right	16	5
126.8	5	0	0.2	right	17	5
134.8	5	135	0.8	right	18	5
142.9	5	135	0.2	right	19	5
151	5	165	0.2	right	20	5
159.4	5	60	0.8	right	21	5
167.6	5	15	0.2	right	22	5
176.3	5	90	0.8	right	23	5
184	5	75	0.2	right	24	5
192.2	5	60	0.2	right	25	5
200.9	5	120	0.2	right	26	5
209.5	5	60	0.2	right	27	5
217.6	5	105	0.8	right	28	5
226.1	5	135	0.2	right	29	5
234.2	5	120	0.8	right	30	5
242	5	15	0.2	right	31	5
249.6	5	165	0.8	right	32	5
257.4	5	45	0.8	right	33	5
265.8	5	150	0.8	right	34	5
273.8	5	165	0.2	right	35	5
282.4	5	150	0.2	right	36	5
290.2	5	30	0.2	right	37	5
297.7	5	45	0.8	right	38	5
306.2	5	30	0.8	right	39	5
314.3	5	90	0.2	right	40	5
322.2	5	30	0.8	right	41	5
330.3	5	0	0.2	right	42	5
339	5	150	0.8	right	43	5
347.5	5	0	0.2	right	44	5
355.3	5	165	0.8	right	45	5
363.3	5	135	0.8	right	46	5
372	5	75	0.2	right	47	5
380.6	5	45	0.2	right	48	5
