onset_expected	duration_expected	orientation	contrast	side	trial	subject
0	5	60	0.8	left	1	5
7.8	5	15	0.2	left	2	5
15.4	5	60	0.2	left	3	5
23.9	5	90	0.2	left	4	5
32.4	5	45	0.8	left	5	5
41	5	105	0.2	left	6	5
48.8	5	60	0.2	left	7	5
56.9	5	75	0.2	left	8	5
64.4	5	165	0.8	left	9	5
72.4	5	45	0.8	left	10	5
80.2	5	45	0.2	left	11	5
88.8	5	75	0.8	left	12	5
97.3	5	75	0.8	left	13	5
105.1	5	90	0.8	left	14	5
112.6	5	0	0.2	left	15	5
120.5	5	30	0.2	left	16	5
129	5	135	0.8	left	17	5
137.1	5	150	0.2	left	18	5
145.2	5	90	0.2	left	19	5
153.7	5	150	0.8	left	20	5
161.9	5	75	0.2	left	21	5
170	5	15	0.2	left	22	5
178.3	5	120	0.8	left	23	5
186.2	5	120	0.2	left	24	5
193.8	5	90	0.8	left	25	5
201.9	5	30	0.8	left	26	5
210	5	135	0.2	left	27	5
217.6	5	150	0.2	left	28	5
226.3	5	0	0.2	left	29	5
234.3	5	135	0.8	left	30	5
242.6	5	105	0.8	left	31	5
250.5	5	165	0.8	left	32	5
258.9	5	60	0.8	left	33	5
266.8	5	120	0.8	left	34	5
274.9	5	15	0.8	left	35	5
283.6	5	15	0.8	left	36	5
291.7	5	135	0.2	left	37	5
299.3	5	105	0.2	left	38	5
307.6	5	0	0.2	left	39	5
315.2	5	165	0.2	left	40	5
323.6	5	105	0.8	left	41	5
331.2	5	30	0.2	left	42	5
339.9	5	30	0.8	left	43	5
347.7	5	120	0.2	left	44	5
356.2	5	45	0.2	left	45	5
364.3	5	0	0.2	left	46	5
372.1	5	165	0.2	left	47	5
380.4	5	150	0.8	left	48	5
