onset_expected	duration_expected	orientation	contrast	side	trial	subject
0	5	15	0.2	right	1	5
7.5	5	105	0.8	right	2	5
15.6	5	135	0.8	right	3	5
23.3	5	105	0.2	right	4	5
31.5	5	75	0.2	right	5	5
39.6	5	165	0.2	right	6	5
47.9	5	135	0.2	right	7	5
55.7	5	165	0.8	right	8	5
64.4	5	15	0.8	right	9	5
72.7	5	45	0.2	right	10	5
81.4	5	135	0.2	right	11	5
89.4	5	135	0.8	right	12	5
97.9	5	120	0.2	right	13	5
105.9	5	150	0.2	right	14	5
114.3	5	75	0.8	right	15	5
121.8	5	15	0.2	right	16	5
130.5	5	30	0.8	right	17	5
138	5	45	0.2	right	18	5
145.7	5	60	0.8	right	19	5
153.8	5	30	0.2	right	20	5
162.3	5	150	0.2	right	21	5
170.2	5	90	0.8	right	22	5
178	5	0	0.2	right	23	5
185.6	5	165	0.8	right	24	5
194.2	5	105	0.8	right	25	5
202	5	90	0.2	right	26	5
209.9	5	150	0.8	right	27	5
217.4	5	150	0.8	right	28	5
225.1	5	120	0.8	right	29	5
233.2	5	90	0.8	right	30	5
241	5	0	0.2	right	31	5
249.2	5	90	0.2	right	32	5
257.7	5	165	0.2	right	33	5
265.7	5	45	0.8	right	34	5
274.2	5	75	0.8	right	35	5
282.6	5	60	0.8	right	36	5
291.3	5	15	0.8	right	37	5
298.8	5	60	0.2	right	38	5
307.1	5	105	0.2	right	39	5
315.2	5	120	0.2	right	40	5
323.9	5	120	0.8	right	41	5
332.3	5	30	0.8	right	42	5
340.4	5	30	0.2	right	43	5
348.2	5	75	0.2	right	44	5
356.2	5	45	0.8	right	45	5
364.2	5	0	0.2	right	46	5
371.8	5	60	0.2	right	47	5
379.9	5	0	0.2	right	48	5
