onset_expected	duration_expected	orientation	contrast	side	trial	subject
0	5	105	0.8	left	1	6
8.2	5	120	0.8	left	2	6
16.9	5	0	0.2	left	3	6
24.6	5	30	0.8	left	4	6
32.2	5	60	0.2	left	5	6
40.5	5	150	0.2	left	6	6
48.1	5	45	0.8	left	7	6
56.8	5	120	0.2	left	8	6
64.6	5	90	0.2	left	9	6
72.8	5	135	0.8	left	10	6
81.3	5	135	0.8	left	11	6
89.8	5	90	0.2	left	12	6
97.9	5	15	0.8	left	13	6
106.3	5	15	0.8	left	14	6
114.9	5	60	0.8	left	15	6
123.5	5	60	0.2	left	16	6
131.2	5	150	0.8	left	17	6
139.4	5	165	0.2	left	18	6
147.9	5	165	0.8	left	19	6
155.6	5	30	0.2	left	20	6
164	5	75	0.8	left	21	6
172.1	5	165	0.8	left	22	6
180.3	5	150	0.8	left	23	6
188.1	5	0	0.2	left	24	6
195.7	5	0	0.2	left	25	6
203.5	5	0	0.2	left	26	6
212.1	5	150	0.2	left	27	6
220.2	5	75	0.8	left	28	6
228	5	105	0.2	left	29	6
236.4	5	75	0.2	left	30	6
244.9	5	45	0.8	left	31	6
252.4	5	15	0.2	left	32	6
261	5	120	0.8	left	33	6
269.5	5	60	0.8	left	34	6
277.4	5	75	0.2	left	35	6
285.7	5	30	0.8	left	36	6
293.5	5	135	0.2	left	37	6
302.2	5	165	0.2	left	38	6
310	5	45	0.2	left	39	6
317.7	5	15	0.2	left	40	6
326.1	5	105	0.2	left	41	6
334.2	5	120	0.2	left	42	6
342.5	5	90	0.8	left	43	6
351.2	5	45	0.2	left	44	6
359.1	5	90	0.8	left	45	6
366.6	5	30	0.2	left	46	6
375.1	5	135	0.2	left	47	6
383	5	105	0.8	left	48	6
