onset_expected	duration_expected	orientation	contrast	side	trial	subject
0	5	120	0.2	left	1	6
8	5	0	0.2	left	2	6
16.3	5	75	0.2	left	3	6
24.8	5	90	0.2	left	4	6
32.6	5	30	0.8	left	5	6
40.6	5	135	0.8	left	6	6
48.8	5	60	0.8	left	7	6
56.8	5	60	0.8	left	8	6
64.4	5	30	0.2	left	9	6
72.8	5	0	0.2	left	10	6
80.3	5	150	0.8	left	11	6
88.3	5	90	0.8	left	12	6
95.8	5	30	0.2	left	13	6
104.5	5	135	0.2	left	14	6
112.6	5	120	0.8	left	15	6
121.2	5	0	0.2	left	16	6
129.1	5	45	0.8	left	17	6
137.7	5	75	0.8	left	18	6
145.5	5	150	0.8	left	19	6
154.1	5	45	0.2	left	20	6
162.7	5	120	0.2	left	21	6
170.7	5	75	0.8	left	22	6
179	5	45	0.8	left	23	6
187.2	5	60	0.2	left	24	6
195.8	5	165	0.2	left	25	6
203.5	5	165	0.8	left	26	6
211	5	15	0.8	left	27	6
219.6	5	120	0.8	left	28	6
227.4	5	165	0.2	left	29	6
235.2	5	135	0.8	left	30	6
243.5	5	150	0.2	left	31	6
251.3	5	135	0.2	left	32	6
259.8	5	60	0.2	left	33	6
268.4	5	105	0.8	left	34	6
277.1	5	150	0.2	left	35	6
285.1	5	90	0.8	left	36	6
293.6	5	45	0.2	left	37	6
301.3	5	0	0.2	left	38	6
309.6	5	105	0.2	left	39	6
318	5	75	0.2	left	40	6
325.6	5	105	0.8	left	41	6
333.7	5	30	0.8	left	42	6
342.3	5	105	0.2	left	43	6
350.1	5	15	0.2	left	44	6
357.9	5	15	0.2	left	45	6
366.4	5	15	0.8	left	46	6
374.5	5	90	0.2	left	47	6
382.1	5	165	0.8	left	48	6
