onset_expected	duration_expected	orientation	contrast	side	trial	subject
0	5	120	0.2	right	1	5
8	5	165	0.2	right	2	5
16.5	5	150	0.2	right	3	5
24.2	5	120	0.2	right	4	5
32.6	5	0	0.2	right	5	5
40.7	5	30	0.2	right	6	5
48.7	5	75	0.8	right	7	5
57	5	15	0.8	right	8	5
65.7	5	30	0.8	right	9	5
74.4	5	120	0.8	right	10	5
83.1	5	90	0.8	right	11	5
91.2	5	60	0.8	right	12	5
99.5	5	60	0.8	right	13	5
108	5	105	0.8	right	14	5
115.7	5	15	0.2	right	15	5
124	5	45	0.2	right	16	5
132.1	5	105	0.2	right	17	5
139.9	5	165	0.2	right	18	5
147.9	5	60	0.2	right	19	5
156.2	5	135	0.8	right	20	5
164.5	5	150	0.8	right	21	5
172.8	5	45	0.2	right	22	5
181.4	5	135	0.2	right	23	5
189.6	5	150	0.8	right	24	5
197.1	5	120	0.8	right	25	5
205.1	5	30	0.2	right	26	5
213.2	5	90	0.2	right	27	5
221	5	0	0.2	right	28	5
228.8	5	45	0.8	right	29	5
237	5	150	0.2	right	30	5
245.1	5	135	0.8	right	31	5
253	5	90	0.8	right	32	5
261.2	5	75	0.2	right	33	5
268.8	5	60	0.2	right	34	5
276.6	5	15	0.8	right	35	5
284.7	5	135	0.2	right	36	5
292.9	5	105	0.2	right	37	5
300.9	5	0	0.2	right	38	5
309	5	105	0.8	right	39	5
317	5	30	0.8	right	40	5
324.6	5	45	0.8	right	41	5
333.2	5	15	0.2	right	42	5
341.1	5	0	0.2	right	43	5
349.3	5	75	0.2	right	44	5
357.5	5	90	0.2	right	45	5
365.8	5	165	0.8	right	46	5
374	5	75	0.8	right	47	5
382.4	5	165	0.8	right	48	5
