onset_expected	duration_expected	orientation	contrast	side	trial	subject
0	5	15	0.8	right	1	5
8.5	5	105	0.8	right	2	5
17.1	5	150	0.2	right	3	5
24.8	5	60	0.2	right	4	5
33.4	5	45	0.2	right	5	5
41.1	5	45	0.8	right	6	5
49.8	5	165	0.8	right	7	5
58.2	5	105	0.2	right	8	5
65.7	5	165	0.2	right	9	5
73.8	5	60	0.8	right	10	5
81.4	5	90	0.8	right	11	5
89.6	5	135	0.2	right	12	5
98.1	5	135	0.8	right	13	5
105.9	5	135	0.8	right	14	5
113.6	5	60	0.2	right	15	5
122	5	0	0.2	right	16	5
130.3	5	150	0.2	right	17	5
137.9	5	150	0.8	right	18	5
145.9	5	90	0.2	right	19	5
154.2	5	30	0.8	right	20	5
162.3	5	75	0.2	right	21	5
170.5	5	120	0.8	right	22	5
179	5	75	0.8	right	23	5
186.6	5	165	0.8	right	24	5
195	5	30	0.8	right	25	5
203.7	5	120	0.8	right	26	5
211.9	5	15	0.2	right	27	5
220.2	5	45	0.8	right	28	5
228.3	5	120	0.2	right	29	5
236.4	5	150	0.8	right	30	5
244.3	5	0	0.2	right	31	5
251.8	5	15	0.8	right	32	5
260.1	5	105	0.8	right	33	5
268.1	5	120	0.2	right	34	5
276.5	5	45	0.2	right	35	5
284.1	5	15	0.2	right	36	5
292.1	5	0	0.2	right	37	5
300.3	5	30	0.2	right	38	5
308.6	5	165	0.2	right	39	5
316.5	5	75	0.8	right	40	5
324.7	5	60	0.8	right	41	5
332.8	5	90	0.2	right	42	5
340.8	5	90	0.8	right	43	5
348.7	5	105	0.2	right	44	5
356.5	5	135	0.2	right	45	5
365.1	5	75	0.2	right	46	5
373.7	5	30	0.2	right	47	5
381.7	5	0	0.2	right	48	5
