onset_expected	duration_expected	orientation	contrast	side	trial	subject
0	5	135	0.8	right	1	5
8.1	5	60	0.2	right	2	5
16.2	5	150	0.8	right	3	5
24.2	5	135	0.8	right	4	5
32.2	5	120	0.2	right	5	5
40.2	5	150	0.2	right	6	5
48.6	5	15	0.2	right	7	5
57.1	5	60	0.2	right	8	5
65.6	5	105	0.2	right	9	5
73.7	5	15	0.8	right	10	5
82.2	5	45	0.8	right	11	5
89.8	5	45	0.2	right	12	5
97.4	5	15	0.2	right	13	5
105.5	5	105	0.8	right	14	5
113.4	5	15	0.8	right	15	5
121.4	5	30	0.8	right	16	5
129.2	5	90	0.8	right	17	5
137.8	5	75	0.2	right	18	5
146.2	5	60	0.8	right	19	5
154.3	5	60	0.8	right	20	5
162.1	5	0	0.2	right	21	5
170.8	5	165	0.8	right	22	5
178.7	5	135	0.2	right	23	5
187.4	5	105	0.2	right	24	5
195.7	5	30	0.2	right	25	5
203.7	5	120	0.8	right	26	5
211.6	5	0	0.2	right	27	5
219.5	5	0	0.2	right	28	5
228	5	165	0.2	right	29	5
236.7	5	75	0.8	right	30	5
244.7	5	0	0.2	right	31	5
253.1	5	45	0.2	right	32	5
261.7	5	30	0.8	right	33	5
269.5	5	45	0.8	right	34	5
278	5	150	0.2	right	35	5
285.8	5	120	0.2	right	36	5
293.8	5	165	0.8	right	37	5
302.4	5	105	0.8	right	38	5
310.1	5	75	0.8	right	39	5
318.4	5	75	0.2	right	40	5
326.2	5	150	0.8	right	41	5
334.8	5	30	0.2	right	42	5
342.6	5	165	0.2	right	43	5
351	5	135	0.2	right	44	5
358.6	5	90	0.2	right	45	5
366.2	5	90	0.8	right	46	5
374.5	5	90	0.2	right	47	5
382.7	5	120	0.8	right	48	5
