onset_expected	duration_expected	orientation	contrast	side	trial	subject
0	5	60	0.2	left	1	5
8.6	5	150	0.2	left	2	5
16.8	5	90	0.8	left	3	5
25.3	5	105	0.8	left	4	5
33	5	120	0.8	left	5	5
40.9	5	105	0.2	left	6	5
49.1	5	30	0.8	left	7	5
56.7	5	135	0.2	left	8	5
65	5	30	0.8	left	9	5
72.7	5	45	0.8	left	10	5
80.4	5	90	0.2	left	11	5
88.9	5	120	0.2	left	12	5
96.4	5	0	0.2	left	13	5
104.6	5	120	0.8	left	14	5
113	5	150	0.2	left	15	5
121.6	5	45	0.2	left	16	5
129.4	5	75	0.8	left	17	5
138	5	165	0.8	left	18	5
146	5	165	0.2	left	19	5
154.7	5	75	0.8	left	20	5
163	5	15	0.8	left	21	5
171.7	5	45	0.8	left	22	5
179.2	5	90	0.2	left	23	5
186.9	5	135	0.2	left	24	5
194.5	5	0	0.2	left	25	5
202.2	5	0	0.2	left	26	5
210.8	5	60	0.8	left	27	5
219	5	165	0.8	left	28	5
227.4	5	165	0.2	left	29	5
235.6	5	120	0.2	left	30	5
243.3	5	60	0.2	left	31	5
251.7	5	15	0.8	left	32	5
259.4	5	15	0.2	left	33	5
268	5	0	0.2	left	34	5
276.5	5	150	0.8	left	35	5
284.9	5	60	0.8	left	36	5
293.3	5	135	0.8	left	37	5
301.4	5	15	0.2	left	38	5
310	5	135	0.8	left	39	5
317.8	5	75	0.2	left	40	5
325.4	5	30	0.2	left	41	5
333.3	5	45	0.2	left	42	5
340.9	5	75	0.2	left	43	5
349.1	5	105	0.2	left	44	5
357	5	150	0.8	left	45	5
365.2	5	90	0.8	left	46	5
373.5	5	105	0.8	left	47	5
381.9	5	30	0.2	left	48	5
