onset_expected	duration_expected	orientation	contrast	side	trial	subject
0	5	105	0.2	left	1	6
8.4	5	150	0.8	left	2	6
17	5	45	0.2	left	3	6
25.3	5	135	0.8	left	4	6
33	5	90	0.2	left	5	6
41.2	5	135	0.2	left	6	6
48.9	5	150	0.2	left	7	6
57.5	5	15	0.8	left	8	6
65.1	5	165	0.8	left	9	6
73	5	165	0.8	left	10	6
81.2	5	0	0.2	left	11	6
89.3	5	15	0.2	left	12	6
97.8	5	120	0.8	left	13	6
105.9	5	15	0.2	left	14	6
113.6	5	90	0.2	left	15	6
122	5	45	0.8	left	16	6
129.6	5	135	0.2	left	17	6
137.9	5	30	0.8	left	18	6
146.2	5	60	0.8	left	19	6
153.9	5	15	0.8	left	20	6
161.6	5	60	0.2	left	21	6
169.3	5	135	0.8	left	22	6
176.9	5	45	0.8	left	23	6
184.6	5	75	0.8	left	24	6
193.3	5	150	0.2	left	25	6
200.8	5	30	0.2	left	26	6
209.5	5	30	0.8	left	27	6
217	5	105	0.8	left	28	6
225.7	5	75	0.2	left	29	6
233.5	5	60	0.2	left	30	6
241.6	5	165	0.2	left	31	6
250.2	5	0	0.2	left	32	6
258.8	5	0	0.2	left	33	6
266.5	5	0	0.2	left	34	6
274.8	5	75	0.8	left	35	6
283.5	5	90	0.8	left	36	6
292.2	5	120	0.2	left	37	6
299.8	5	120	0.2	left	38	6
307.5	5	30	0.2	left	39	6
315.9	5	60	0.8	left	40	6
323.4	5	150	0.8	left	41	6
330.9	5	165	0.2	left	42	6
339	5	75	0.2	left	43	6
347.6	5	120	0.8	left	44	6
356.3	5	105	0.8	left	45	6
363.8	5	45	0.2	left	46	6
372	5	90	0.8	left	47	6
380.6	5	105	0.2	left	48	6
