onset_expected	duration_expected	orientation	contrast	side	trial	subject
0	5	120	0.2	right	1	6
8	5	60	0.8	right	2	6
15.5	5	45	0.8	right	3	6
23.7	5	0	0.2	right	4	6
31.8	5	165	0.2	right	5	6
39.6	5	120	0.8	right	6	6
47.1	5	30	0.8	right	7	6
55.6	5	45	0.8	right	8	6
63.1	5	75	0.2	right	9	6
71	5	30	0.2	right	10	6
79.5	5	30	0.8	right	11	6
88.2	5	60	0.2	right	12	6
96.4	5	120	0.2	right	13	6
104.9	5	60	0.2	right	14	6
113.3	5	105	0.8	right	15	6
121.6	5	15	0.2	right	16	6
129.9	5	90	0.2	right	17	6
138.6	5	45	0.2	right	18	6
146.7	5	90	0.8	right	19	6
154.7	5	150	0.8	right	20	6
163	5	0	0.2	right	21	6
171	5	45	0.2	right	22	6
178.6	5	105	0.2	right	23	6
186.6	5	165	0.8	right	24	6
194.8	5	105	0.8	right	25	6
202.8	5	150	0.2	right	26	6
210.8	5	150	0.2	right	27	6
219.2	5	90	0.2	right	28	6
227.3	5	165	0.8	right	29	6
235.4	5	60	0.8	right	30	6
243	5	75	0.8	right	31	6
250.8	5	0	0.2	right	32	6
258.8	5	135	0.2	right	33	6
267.1	5	15	0.2	right	34	6
275.5	5	75	0.2	right	35	6
284.2	5	120	0.8	right	36	6
292.9	5	90	0.8	right	37	6
300.5	5	150	0.8	right	38	6
309.2	5	135	0.8	right	39	6
316.9	5	135	0.8	right	40	6
325.6	5	0	0.2	right	41	6
333.8	5	15	0.8	right	42	6
341.6	5	15	0.8	right	43	6
349.1	5	135	0.2	right	44	6
356.9	5	75	0.8	right	45	6
365.4	5	105	0.2	right	46	6
372.9	5	30	0.2	right	47	6
380.8	5	165	0.2	right	48	6
