onset_expected	duration_expected	orientation	contrast	side	trial	subject
0	5	45	0.2	left	1	6
8.3	5	165	0.8	left	2	6
15.8	5	150	0.8	left	3	6
23.3	5	135	0.8	left	4	6
31.1	5	105	0.8	left	5	6
38.7	5	120	0.8	left	6	6
47.3	5	30	0.2	left	7	6
55.9	5	30	0.8	left	8	6
63.9	5	45	0.8	left	9	6
71.6	5	150	0.8	left	10	6
79.6	5	150	0.2	left	11	6
87.6	5	75	0.8	left	12	6
96	5	0	0.2	left	13	6
104	5	135	0.2	left	14	6
112.7	5	15	0.2	left	15	6
121.3	5	165	0.8	left	16	6
130	5	120	0.8	left	17	6
137.9	5	15	0.2	left	18	6
145.7	5	90	0.2	left	19	6
154.3	5	165	0.2	left	20	6
162	5	105	0.8	left	21	6
169.6	5	60	0.2	left	22	6
177.7	5	165	0.2	left	23	6
186.3	5	105	0.2	left	24	6
194.3	5	30	0.2	left	25	6
202	5	90	0.8	left	26	6
209.6	5	105	0.2	left	27	6
218.3	5	60	0.2	left	28	6
226.5	5	45	0.8	left	29	6
234.4	5	90	0.2	left	30	6
242.7	5	0	0.2	left	31	6
251.2	5	60	0.8	left	32	6
259.1	5	0	0.2	left	33	6
267.5	5	150	0.2	left	34	6
275.2	5	45	0.2	left	35	6
283.9	5	135	0.2	left	36	6
292.3	5	0	0.2	left	37	6
300	5	15	0.8	left	38	6
308	5	60	0.8	left	39	6
316.3	5	75	0.2	left	40	6
325	5	75	0.8	left	41	6
333.1	5	120	0.2	left	42	6
341.4	5	75	0.2	left	43	6
349.7	5	90	0.8	left	44	6
358.4	5	15	0.8	left	45	6
366	5	30	0.8	left	46	6
374	5	135	0.8	left	47	6
381.9	5	120	0.2	left	48	6
