onset_expected	duration_expected	orientation	contrast	side	trial	subject
0	5	165	0.8	left	1	6
8.1	5	150	0.2	left	2	6
16.2	5	0	0.2	left	3	6
24.7	5	30	0.2	left	4	6
33.4	5	45	0.8	left	5	6
40.9	5	30	0.8	left	6	6
49.3	5	135	0.2	left	7	6
57.1	5	90	0.8	left	8	6
65.1	5	120	0.2	left	9	6
72.9	5	0	0.2	left	10	6
81.4	5	15	0.2	left	11	6
90.1	5	30	0.8	left	12	6
98.4	5	90	0.8	left	13	6
106.8	5	105	0.2	left	14	6
115.5	5	150	0.8	left	15	6
123.8	5	90	0.2	left	16	6
132	5	45	0.8	left	17	6
139.9	5	15	0.2	left	18	6
148.2	5	60	0.2	left	19	6
156.1	5	75	0.2	left	20	6
164.1	5	135	0.8	left	21	6
172	5	45	0.2	left	22	6
180.1	5	60	0.8	left	23	6
188.2	5	105	0.8	left	24	6
196.8	5	135	0.8	left	25	6
204.5	5	30	0.2	left	26	6
212.4	5	15	0.8	left	27	6
220.6	5	15	0.8	left	28	6
228.7	5	150	0.2	left	29	6
236.5	5	150	0.8	left	30	6
244.7	5	120	0.8	left	31	6
253.3	5	45	0.2	left	32	6
260.8	5	105	0.2	left	33	6
268.8	5	75	0.8	left	34	6
276.4	5	0	0.2	left	35	6
284.6	5	60	0.2	left	36	6
292.8	5	75	0.8	left	37	6
301.2	5	120	0.2	left	38	6
309	5	120	0.8	left	39	6
317.2	5	165	0.2	left	40	6
325.2	5	60	0.8	left	41	6
333.8	5	165	0.8	left	42	6
342.1	5	90	0.2	left	43	6
350	5	165	0.2	left	44	6
357.9	5	75	0.2	left	45	6
365.7	5	0	0.2	left	46	6
374.4	5	135	0.2	left	47	6
382.2	5	105	0.8	left	48	6
