onset_expected	duration_expected	orientation	contrast	side	trial	subject
0	5	45	0.8	left	1	6
8	5	30	0.8	left	2	6
15.6	5	165	0.2	left	3	6
23.1	5	0	0.2	left	4	6
31.5	5	150	0.8	left	5	6
40	5	75	0.2	left	6	6
47.8	5	120	0.2	left	7	6
55.4	5	60	0.8	left	8	6
63.3	5	75	0.8	left	9	6
71.8	5	165	0.8	left	10	6
80.3	5	30	0.8	left	11	6
88.6	5	150	0.2	left	12	6
97.3	5	15	0.8	left	13	6
106	5	120	0.8	left	14	6
113.6	5	0	0.2	left	15	6
121.9	5	105	0.8	left	16	6
130	5	75	0.2	left	17	6
137.5	5	120	0.8	left	18	6
146.1	5	60	0.2	left	19	6
154.2	5	30	0.2	left	20	6
162.7	5	165	0.8	left	21	6
170.2	5	60	0.2	left	22	6
178	5	75	0.8	left	23	6
186.3	5	90	0.2	left	24	6
193.9	5	135	0.2	left	25	6
202.2	5	0	0.2	left	26	6
210.2	5	105	0.2	left	27	6
218.6	5	90	0.2	left	28	6
226.9	5	90	0.8	left	29	6
234.8	5	165	0.2	left	30	6
242.6	5	135	0.2	left	31	6
250.5	5	150	0.2	left	32	6
259.1	5	45	0.2	left	33	6
267.1	5	150	0.8	left	34	6
275.1	5	105	0.2	left	35	6
283.1	5	135	0.8	left	36	6
291.8	5	15	0.8	left	37	6
299.5	5	45	0.2	left	38	6
308.1	5	15	0.2	left	39	6
315.6	5	120	0.2	left	40	6
323.5	5	30	0.2	left	41	6
331.9	5	60	0.8	left	42	6
339.8	5	0	0.2	left	43	6
348.1	5	45	0.8	left	44	6
356.1	5	15	0.2	left	45	6
363.6	5	90	0.8	left	46	6
371.8	5	135	0.8	left	47	6
380	5	105	0.8	left	48	6
