onset_expected	duration_expected	orientation	contrast	side	trial	subject
0	5	45	0.2	left	1	6
7.7	5	60	0.8	left	2	6
16.1	5	120	0.2	left	3	6
24.4	5	105	0.2	left	4	6
33	5	120	0.8	left	5	6
41.2	5	60	0.8	left	6	6
49.6	5	120	0.2	left	7	6
58	5	120	0.8	left	8	6
66	5	0	0.2	left	9	6
73.8	5	135	0.2	left	10	6
81.3	5	90	0.2	left	11	6
89.4	5	30	0.2	left	12	6
97.7	5	75	0.2	left	13	6
105.5	5	165	0.2	left	14	6
113.6	5	150	0.2	left	15	6
121.4	5	30	0.8	left	16	6
129.2	5	135	0.8	left	17	6
137.5	5	165	0.8	left	18	6
146.1	5	60	0.2	left	19	6
154.7	5	90	0.8	left	20	6
162.4	5	75	0.8	left	21	6
170.4	5	90	0.2	left	22	6
179	5	165	0.8	left	23	6
186.8	5	135	0.8	left	24	6
195.5	5	15	0.8	left	25	6
203.8	5	45	0.2	left	26	6
211.5	5	150	0.8	left	27	6
220	5	135	0.2	left	28	6
228.3	5	105	0.2	left	29	6
236.5	5	15	0.8	left	30	6
244.3	5	15	0.2	left	31	6
251.8	5	30	0.2	left	32	6
259.6	5	30	0.8	left	33	6
267.5	5	150	0.2	left	34	6
275.8	5	45	0.8	left	35	6
284.5	5	105	0.8	left	36	6
292.2	5	165	0.2	left	37	6
300.6	5	75	0.8	left	38	6
309.2	5	60	0.2	left	39	6
317.3	5	45	0.8	left	40	6
325	5	75	0.2	left	41	6
333.5	5	0	0.2	left	42	6
341.6	5	90	0.8	left	43	6
349.2	5	0	0.2	left	44	6
357.8	5	15	0.2	left	45	6
366.1	5	150	0.8	left	46	6
373.7	5	105	0.8	left	47	6
382.3	5	0	0.2	left	48	6
