onset_expected	duration_expected	orientation	contrast	side	trial	subject
0	5	135	0.8	left	1	6
7.7	5	0	0.2	left	2	6
16.1	5	15	0.2	left	3	6
24.3	5	60	0.2	left	4	6
32	5	45	0.2	left	5	6
40.5	5	75	0.2	left	6	6
48.5	5	120	0.2	left	7	6
56.7	5	45	0.8	left	8	6
64.8	5	30	0.2	left	9	6
72.5	5	105	0.2	left	10	6
80.1	5	150	0.2	left	11	6
88.2	5	60	0.8	left	12	6
95.7	5	15	0.2	left	13	6
103.7	5	0	0.2	left	14	6
111.9	5	120	0.2	left	15	6
120.2	5	135	0.2	left	16	6
127.7	5	30	0.2	left	17	6
136.1	5	150	0.8	left	18	6
143.8	5	30	0.8	left	19	6
152	5	165	0.2	left	20	6
160.2	5	120	0.8	left	21	6
168.7	5	165	0.2	left	22	6
176.2	5	90	0.8	left	23	6
184.8	5	135	0.2	left	24	6
192.7	5	90	0.8	left	25	6
200.7	5	60	0.2	left	26	6
208.6	5	150	0.8	left	27	6
216.8	5	135	0.8	left	28	6
224.6	5	15	0.8	left	29	6
232.5	5	0	0.2	left	30	6
240.4	5	75	0.2	left	31	6
248.7	5	0	0.2	left	32	6
257	5	165	0.8	left	33	6
265.7	5	90	0.2	left	34	6
274.4	5	75	0.8	left	35	6
282.3	5	75	0.8	left	36	6
290	5	120	0.8	left	37	6
298.6	5	15	0.8	left	38	6
306.4	5	105	0.2	left	39	6
314.6	5	45	0.8	left	40	6
323.2	5	90	0.2	left	41	6
330.8	5	45	0.2	left	42	6
338.6	5	30	0.8	left	43	6
346.6	5	165	0.8	left	44	6
354.8	5	150	0.2	left	45	6
363.4	5	105	0.8	left	46	6
371.1	5	105	0.8	left	47	6
379.8	5	60	0.8	left	48	6
