onset_expected	duration_expected	orientation	contrast	side	trial	subject
0	5	0	0.2	right	1	5
8.4	5	60	0.8	right	2	5
16.6	5	15	0.2	right	3	5
25.1	5	165	0.2	right	4	5
33.2	5	75	0.8	right	5	5
40.8	5	135	0.2	right	6	5
48.6	5	90	0.2	right	7	5
56.7	5	15	0.8	right	8	5
64.2	5	90	0.8	right	9	5
72.2	5	0	0.2	right	10	5
80.8	5	45	0.8	right	11	5
88.4	5	90	0.2	right	12	5
97.1	5	105	0.8	right	13	5
105.4	5	150	0.2	right	14	5
113.7	5	165	0.8	right	15	5
121.4	5	105	0.2	right	16	5
129.8	5	60	0.2	right	17	5
138.3	5	30	0.2	right	18	5
146	5	75	0.8	right	19	5
153.8	5	75	0.2	right	20	5
161.3	5	105	0.8	right	21	5
169.4	5	30	0.8	right	22	5
177	5	30	0.8	right	23	5
185.1	5	90	0.8	right	24	5
193.6	5	120	0.2	right	25	5
202	5	165	0.2	right	26	5
209.7	5	120	0.8	right	27	5
218.4	5	45	0.2	right	28	5
226.5	5	75	0.2	right	29	5
234.8	5	150	0.2	right	30	5
242.8	5	30	0.2	right	31	5
251	5	120	0.2	right	32	5
259.3	5	60	0.2	right	33	5
267.7	5	15	0.8	right	34	5
276.1	5	135	0.8	right	35	5
284.1	5	150	0.8	right	36	5
291.6	5	135	0.2	right	37	5
300	5	120	0.8	right	38	5
308.6	5	0	0.2	right	39	5
317.1	5	105	0.2	right	40	5
325	5	15	0.2	right	41	5
332.7	5	45	0.2	right	42	5
340.8	5	165	0.8	right	43	5
349	5	0	0.2	right	44	5
357	5	150	0.8	right	45	5
365.3	5	45	0.8	right	46	5
373.9	5	135	0.8	right	47	5
382.1	5	60	0.8	right	48	5
