onset_expected	duration_expected	orientation	contrast	side	trial	subject
0	5	0	0.2	left	1	5
7.9	5	45	0.2	left	2	5
16.4	5	165	0.8	left	3	5
24.9	5	120	0.2	left	4	5
33.2	5	75	0.2	left	5	5
41.2	5	135	0.2	left	6	5
49	5	45	0.8	left	7	5
56.6	5	0	0.2	left	8	5
64.3	5	150	0.8	left	9	5
72.6	5	60	0.2	left	10	5
80.8	5	30	0.8	left	11	5
89.5	5	135	0.8	left	12	5
97.6	5	60	0.2	left	13	5
106.3	5	45	0.8	left	14	5
114.1	5	105	0.8	left	15	5
122.3	5	90	0.8	left	16	5
129.9	5	150	0.2	left	17	5
138.4	5	135	0.8	left	18	5
146.1	5	150	0.8	left	19	5
154.3	5	165	0.8	left	20	5
162.8	5	45	0.2	left	21	5
171.5	5	90	0.2	left	22	5
179.8	5	0	0.2	left	23	5
187.5	5	15	0.8	left	24	5
195.1	5	105	0.8	left	25	5
203	5	75	0.8	left	26	5
211.7	5	30	0.2	left	27	5
219.5	5	75	0.2	left	28	5
227.2	5	135	0.2	left	29	5
234.8	5	90	0.2	left	30	5
243.4	5	0	0.2	left	31	5
251.4	5	60	0.8	left	32	5
259.6	5	60	0.8	left	33	5
267.1	5	75	0.8	left	34	5
275.2	5	105	0.2	left	35	5
283.7	5	165	0.2	left	36	5
291.2	5	15	0.8	left	37	5
299.1	5	150	0.2	left	38	5
307.1	5	120	0.8	left	39	5
315.5	5	30	0.2	left	40	5
324.2	5	90	0.8	left	41	5
332.9	5	120	0.2	left	42	5
341.2	5	105	0.2	left	43	5
349.8	5	165	0.2	left	44	5
357.6	5	30	0.8	left	45	5
365.5	5	15	0.2	left	46	5
373.2	5	15	0.2	left	47	5
381.9	5	120	0.8	left	48	5
