onset_expected	duration_expected	orientation	contrast	side	trial	subject
0	5	30	0.2	left	1	6
8.1	5	165	0.2	left	2	6
15.8	5	0	0.2	left	3	6
23.7	5	60	0.8	left	4	6
32.1	5	105	0.2	left	5	6
40.1	5	120	0.2	left	6	6
47.6	5	45	0.2	left	7	6
55.6	5	75	0.8	left	8	6
63.7	5	90	0.8	left	9	6
72.2	5	75	0.8	left	10	6
80	5	45	0.8	left	11	6
88.5	5	90	0.2	left	12	6
96.7	5	150	0.2	left	13	6
104.2	5	150	0.8	left	14	6
112	5	60	0.8	left	15	6
120.2	5	0	0.2	left	16	6
128.3	5	135	0.8	left	17	6
136	5	165	0.8	left	18	6
143.8	5	0	0.2	left	19	6
152.3	5	105	0.8	left	20	6
160.6	5	135	0.2	left	21	6
168.2	5	165	0.8	left	22	6
176.6	5	45	0.2	left	23	6
184.6	5	135	0.8	left	24	6
192.7	5	105	0.2	left	25	6
201.1	5	60	0.2	left	26	6
209.1	5	90	0.2	left	27	6
216.6	5	165	0.2	left	28	6
224.1	5	75	0.2	left	29	6
232.3	5	60	0.2	left	30	6
240.3	5	150	0.8	left	31	6
249	5	15	0.8	left	32	6
256.6	5	0	0.2	left	33	6
264.5	5	150	0.2	left	34	6
272.7	5	30	0.2	left	35	6
280.3	5	120	0.8	left	36	6
288.9	5	135	0.2	left	37	6
297.2	5	120	0.2	left	38	6
305.8	5	15	0.8	left	39	6
314.1	5	30	0.8	left	40	6
321.6	5	45	0.8	left	41	6
329.5	5	15	0.2	left	42	6
337.1	5	120	0.8	left	43	6
345.4	5	75	0.2	left	44	6
352.9	5	30	0.8	left	45	6
361.2	5	90	0.8	left	46	6
369.3	5	105	0.8	left	47	6
377.1	5	15	0.2	left	48	6
