side	run	subject	filename	onset_expected	duration_expected	orientation	contrast	trial	trial_type	iti_expected	n_flip_in_trial	trial_start	trial_end	exitflag	response	rt	correct	onset	duration
middle	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	2.7	0.4	n/a	n/a	1	dim	5.3999999999999995	58	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
middle	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	5.8	0.4	n/a	n/a	2	dim	2.2	26	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
middle	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	8.4	0.4	n/a	n/a	3	dim	4	44	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
middle	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	12.8	0.4	n/a	n/a	4	dim	3.6000000000000014	40.000000000000014	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
middle	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	16.8	0.4	n/a	n/a	5	dim	4.100000000000001	45.000000000000014	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
middle	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	21.3	0.4	n/a	n/a	6	dim	3.5	39	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
middle	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	25.2	0.4	n/a	n/a	7	dim	2.8000000000000007	32.00000000000001	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
middle	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	28.4	0.4	n/a	n/a	8	dim	3.6000000000000014	40.000000000000014	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
middle	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	32.4	0.4	n/a	n/a	9	dim	4.800000000000004	52.00000000000004	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
middle	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	37.6	0.4	n/a	n/a	10	dim	4.299999999999997	46.99999999999997	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
middle	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	42.3	0.4	n/a	n/a	11	dim	3.500000000000007	39.00000000000007	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
middle	3	5	ga_dump/sub-05_task-contrast_run-03_ga_events.tsv	46.2	0.4	n/a	n/a	12	dim	4.699999999999996	50.99999999999996	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
