onset	duration	orientation	contrast	side	trial	subject
0	5	0	0.2	left	1	5
8.5	5	90	0.8	left	2	5
16.1	5	120	0.8	left	3	5
24.6	5	30	0.2	left	4	5
32.3	5	15	0.2	left	5	5
40.5	5	135	0.2	left	6	5
48	5	15	0.8	left	7	5
56.3	5	150	0.8	left	8	5
64	5	45	0.2	left	9	5
72	5	45	0.8	left	10	5
80.4	5	150	0.2	left	11	5
87.9	5	30	0.2	left	12	5
96	5	120	0.2	left	13	5
104.5	5	75	0.2	left	14	5
112.1	5	105	0.8	left	15	5
120.8	5	135	0.8	left	16	5
129	5	165	0.8	left	17	5
136.6	5	60	0.2	left	18	5
145.3	5	60	0.8	left	19	5
153.1	5	75	0.8	left	20	5
161.7	5	105	0.2	left	21	5
169.9	5	105	0.8	left	22	5
178.6	5	90	0.2	left	23	5
186.4	5	165	0.2	left	24	5
195	5	60	0.8	left	25	5
202.7	5	165	0.2	left	26	5
210.4	5	60	0.2	left	27	5
218.9	5	165	0.8	left	28	5
227.6	5	30	0.8	left	29	5
236.1	5	15	0.8	left	30	5
243.8	5	0	0.2	left	31	5
251.6	5	90	0.8	left	32	5
259.5	5	105	0.2	left	33	5
267.2	5	150	0.2	left	34	5
274.9	5	120	0.2	left	35	5
282.6	5	135	0.2	left	36	5
291.3	5	120	0.8	left	37	5
299.7	5	30	0.8	left	38	5
307.2	5	0	0.2	left	39	5
315.5	5	135	0.8	left	40	5
324.2	5	75	0.2	left	41	5
331.9	5	90	0.2	left	42	5
340.1	5	75	0.8	left	43	5
347.7	5	150	0.8	left	44	5
356.1	5	15	0.2	left	45	5
364.5	5	45	0.8	left	46	5
372	5	45	0.2	left	47	5
380.7	5	0	0.2	left	48	5
