onset	duration	orientation	contrast	side	trial	subject
0	5	120	0.8	left	1	5
0	5	45	0.2	right	1	5
7.8	5	75	0.8	right	2	5
8.5	5	105	0.2	left	2	5
15.7	5	30	0.2	right	3	5
17.2	5	90	0.2	left	3	5
21	0.4	n/a	n/a	middle	10	5
21	0.4	n/a	n/a	middle	13	5
21	0.4	n/a	n/a	middle	24	5
22	0.4	n/a	n/a	middle	22	5
22	0.4	n/a	n/a	middle	60	5
23	0.4	n/a	n/a	middle	66	5
23	0.4	n/a	n/a	middle	70	5
23.2	5	90	0.2	right	4	5
24	0.4	n/a	n/a	middle	5	5
24	0.4	n/a	n/a	middle	17	5
24	0.4	n/a	n/a	middle	34	5
24	0.4	n/a	n/a	middle	44	5
24	0.4	n/a	n/a	middle	59	5
25	0.4	n/a	n/a	middle	47	5
25.1	5	30	0.8	left	4	5
26	0.4	n/a	n/a	middle	56	5
27	0.4	n/a	n/a	middle	41	5
27	0.4	n/a	n/a	middle	68	5
27	0.4	n/a	n/a	middle	74	5
28	0.4	n/a	n/a	middle	2	5
28	0.4	n/a	n/a	middle	15	5
28	0.4	n/a	n/a	middle	21	5
28	0.4	n/a	n/a	middle	76	5
29	0.4	n/a	n/a	middle	33	5
29	0.4	n/a	n/a	middle	38	5
29	0.4	n/a	n/a	middle	67	5
30	0.4	n/a	n/a	middle	32	5
30	0.4	n/a	n/a	middle	69	5
31	0.4	n/a	n/a	middle	18	5
31	0.4	n/a	n/a	middle	51	5
31	0.4	n/a	n/a	middle	64	5
31	0.4	n/a	n/a	middle	72	5
31.1	5	165	0.8	right	5	5
32	0.4	n/a	n/a	middle	19	5
33	5	60	0.8	left	5	5
34	0.4	n/a	n/a	middle	40	5
34	0.4	n/a	n/a	middle	53	5
34	0.4	n/a	n/a	middle	73	5
34	0.4	n/a	n/a	middle	81	5
34	0.4	n/a	n/a	middle	82	5
34	0.4	n/a	n/a	middle	83	5
35	0.4	n/a	n/a	middle	23	5
36	0.4	n/a	n/a	middle	4	5
36	0.4	n/a	n/a	middle	12	5
36	0.4	n/a	n/a	middle	54	5
36	0.4	n/a	n/a	middle	58	5
36	0.4	n/a	n/a	middle	61	5
36	0.4	n/a	n/a	middle	71	5
37	0.4	n/a	n/a	middle	6	5
37	0.4	n/a	n/a	middle	7	5
37	0.4	n/a	n/a	middle	37	5
37	0.4	n/a	n/a	middle	65	5
38	0.4	n/a	n/a	middle	31	5
38	0.4	n/a	n/a	middle	36	5
38	0.4	n/a	n/a	middle	49	5
38.7	5	150	0.2	right	6	5
39	0.4	n/a	n/a	middle	14	5
39	0.4	n/a	n/a	middle	27	5
39	0.4	n/a	n/a	middle	48	5
40	0.4	n/a	n/a	middle	8	5
41	0.4	n/a	n/a	middle	9	5
41	0.4	n/a	n/a	middle	29	5
41	0.4	n/a	n/a	middle	30	5
41	0.4	n/a	n/a	middle	57	5
41	0.4	n/a	n/a	middle	63	5
41.2	5	120	0.2	left	6	5
42	0.4	n/a	n/a	middle	42	5
42	0.4	n/a	n/a	middle	52	5
42	0.4	n/a	n/a	middle	75	5
43	0.4	n/a	n/a	middle	1	5
44	0.4	n/a	n/a	middle	25	5
45	0.4	n/a	n/a	middle	3	5
45	0.4	n/a	n/a	middle	16	5
45	0.4	n/a	n/a	middle	43	5
