onset	duration	orientation	contrast	side	trial	subject
0	5	45	0.8	right	1	5
7.9	5	90	0.8	right	2	5
16.3	5	0	0.2	right	3	5
24.5	5	105	0.8	right	4	5
32.4	5	105	0.2	right	5	5
41	5	45	0.8	right	6	5
49.5	5	30	0.2	right	7	5
57.1	5	0	0.2	right	8	5
65.5	5	15	0.8	right	9	5
74	5	120	0.2	right	10	5
82.6	5	165	0.8	right	11	5
90.5	5	105	0.2	right	12	5
98.5	5	90	0.2	right	13	5
106.6	5	135	0.8	right	14	5
114.1	5	135	0.8	right	15	5
122.7	5	165	0.2	right	16	5
130.6	5	60	0.8	right	17	5
139	5	15	0.8	right	18	5
147.6	5	0	0.2	right	19	5
155.4	5	90	0.8	right	20	5
164.1	5	105	0.8	right	21	5
172.8	5	15	0.2	right	22	5
180.8	5	45	0.2	right	23	5
189.5	5	120	0.2	right	24	5
197.7	5	60	0.8	right	25	5
205.9	5	90	0.2	right	26	5
213.5	5	30	0.8	right	27	5
221.5	5	45	0.2	right	28	5
229	5	150	0.8	right	29	5
236.8	5	135	0.2	right	30	5
244.4	5	120	0.8	right	31	5
252.6	5	60	0.2	right	32	5
260.6	5	165	0.8	right	33	5
268.1	5	150	0.8	right	34	5
276.6	5	135	0.2	right	35	5
284.1	5	150	0.2	right	36	5
291.9	5	165	0.2	right	37	5
299.4	5	120	0.8	right	38	5
308.1	5	15	0.2	right	39	5
316.3	5	75	0.8	right	40	5
324.6	5	30	0.2	right	41	5
332.1	5	75	0.2	right	42	5
340.8	5	75	0.8	right	43	5
348.7	5	150	0.2	right	44	5
356.5	5	0	0.2	right	45	5
364.7	5	30	0.8	right	46	5
372.2	5	60	0.2	right	47	5
379.9	5	75	0.2	right	48	5
