onset	duration	orientation	contrast	side	trial	subject
0	16	0	0.2	left	1	5
0	16	0	0.2	right	1	5
16	16	90	0.8	left	2	5
16	16	90	0.8	right	2	5
20	0.4	n/a	n/a	middle	22	5
20	0.4	n/a	n/a	middle	38	5
20	0.4	n/a	n/a	middle	40	5
20	0.4	n/a	n/a	middle	46	5
21	0.4	n/a	n/a	middle	26	5
22	0.4	n/a	n/a	middle	5	5
22	0.4	n/a	n/a	middle	10	5
22	0.4	n/a	n/a	middle	30	5
23	0.4	n/a	n/a	middle	1	5
23	0.4	n/a	n/a	middle	19	5
23	0.4	n/a	n/a	middle	53	5
23	0.4	n/a	n/a	middle	63	5
24	0.4	n/a	n/a	middle	13	5
24	0.4	n/a	n/a	middle	18	5
24	0.4	n/a	n/a	middle	33	5
24	0.4	n/a	n/a	middle	49	5
27	0.4	n/a	n/a	middle	34	5
27	0.4	n/a	n/a	middle	51	5
28	0.4	n/a	n/a	middle	11	5
28	0.4	n/a	n/a	middle	12	5
29	0.4	n/a	n/a	middle	14	5
29	0.4	n/a	n/a	middle	21	5
29	0.4	n/a	n/a	middle	37	5
29	0.4	n/a	n/a	middle	43	5
29	0.4	n/a	n/a	middle	50	5
30	0.4	n/a	n/a	middle	25	5
30	0.4	n/a	n/a	middle	48	5
30	0.4	n/a	n/a	middle	62	5
32	16	0	0.2	left	3	5
32	16	0	0.2	right	3	5
32	0.4	n/a	n/a	middle	20	5
33	0.4	n/a	n/a	middle	16	5
34	0.4	n/a	n/a	middle	52	5
35	0.4	n/a	n/a	middle	47	5
35	0.4	n/a	n/a	middle	55	5
36	0.4	n/a	n/a	middle	7	5
36	0.4	n/a	n/a	middle	27	5
36	0.4	n/a	n/a	middle	29	5
36	0.4	n/a	n/a	middle	57	5
37	0.4	n/a	n/a	middle	32	5
37	0.4	n/a	n/a	middle	35	5
37	0.4	n/a	n/a	middle	44	5
37	0.4	n/a	n/a	middle	60	5
39	0.4	n/a	n/a	middle	31	5
40	0.4	n/a	n/a	middle	23	5
40	0.4	n/a	n/a	middle	39	5
41	0.4	n/a	n/a	middle	61	5
42	0.4	n/a	n/a	middle	6	5
43	0.4	n/a	n/a	middle	4	5
43	0.4	n/a	n/a	middle	17	5
44	0.4	n/a	n/a	middle	3	5
44	0.4	n/a	n/a	middle	15	5
44	0.4	n/a	n/a	middle	56	5
45	0.4	n/a	n/a	middle	28	5
45	0.4	n/a	n/a	middle	36	5
45	0.4	n/a	n/a	middle	41	5
45	0.4	n/a	n/a	middle	42	5
45	0.4	n/a	n/a	middle	45	5
45	0.4	n/a	n/a	middle	59	5
46	0.4	n/a	n/a	middle	24	5
46	0.4	n/a	n/a	middle	54	5
47	0.4	n/a	n/a	middle	8	5
47	0.4	n/a	n/a	middle	9	5
48	16	90	0.8	left	4	5
48	16	90	0.8	right	4	5
49	0.4	n/a	n/a	middle	2	5
50	0.4	n/a	n/a	middle	58	5
64	16	0	0.2	left	5	5
64	16	0	0.2	right	5	5
80	16	90	0.8	left	6	5
80	16	90	0.8	right	6	5
96	16	0	0.2	left	7	5
96	16	0	0.2	right	7	5
112	16	90	0.8	left	8	5
112	16	90	0.8	right	8	5
128	16	0	0.2	left	9	5
128	16	0	0.2	right	9	5
144	16	90	0.8	left	10	5
144	16	90	0.8	right	10	5
160	16	0	0.2	left	11	5
160	16	0	0.2	right	11	5
176	16	90	0.8	left	12	5
176	16	90	0.8	right	12	5
192	16	0	0.2	left	13	5
192	16	0	0.2	right	13	5
208	16	90	0.8	left	14	5
208	16	90	0.8	right	14	5
224	16	0	0.2	left	15	5
224	16	0	0.2	right	15	5
240	16	90	0.8	left	16	5
240	16	90	0.8	right	16	5
256	16	0	0.2	left	17	5
256	16	0	0.2	right	17	5
272	16	90	0.8	left	18	5
272	16	90	0.8	right	18	5
288	16	0	0.2	left	19	5
288	16	0	0.2	right	19	5
304	16	90	0.8	left	20	5
304	16	90	0.8	right	20	5
